Alloy code, C, Si, Mn, P, S, Ni, Cr, Mo, Cu, Al, N, Temperature (íÒC), 0.2% Proof Stress (MPa), Tensile Strength (MPa), Elongation (%), Reduction in Area (%)
test_1,0.1,0.35,0.44,0.02,0.007,0.05,1.01,0.51,0.08,0.012,0.0082,27,,,,
test_1,0.1,0.35,0.44,0.02,0.007,0.05,1.01,0.51,0.08,0.012,0.0082,100,,,,
test_1,0.1,0.35,0.44,0.02,0.007,0.05,1.01,0.51,0.08,0.012,0.0082,200,,,,
test_1,0.1,0.35,0.44,0.02,0.007,0.05,1.01,0.51,0.08,0.012,0.0082,300,,,,
test_1,0.1,0.35,0.44,0.02,0.007,0.05,1.01,0.51,0.08,0.012,0.0082,400,,,,
test_1,0.1,0.35,0.44,0.02,0.007,0.05,1.01,0.51,0.08,0.012,0.0082,450,,,,
test_1,0.1,0.35,0.44,0.02,0.007,0.05,1.01,0.51,0.08,0.012,0.0082,500,,,,
test_1,0.1,0.35,0.44,0.02,0.007,0.05,1.01,0.51,0.08,0.012,0.0082,550,,,,
test_1,0.1,0.35,0.44,0.02,0.007,0.05,1.01,0.51,0.08,0.012,0.0082,600,,,,
test_1,0.1,0.35,0.44,0.02,0.007,0.05,1.01,0.51,0.08,0.012,0.0082,650,,,,
test_2,0.2,0.22,0.68,0.024,0.009,0.15,0.11,0.03,0.23,0.01,0.0077,27,,,,
test_2,0.2,0.22,0.68,0.024,0.009,0.15,0.11,0.03,0.23,0.01,0.0077,100,,,,
test_2,0.2,0.22,0.68,0.024,0.009,0.15,0.11,0.03,0.23,0.01,0.0077,200,,,,
test_2,0.2,0.22,0.68,0.024,0.009,0.15,0.11,0.03,0.23,0.01,0.0077,300,,,,
test_2,0.2,0.22,0.68,0.024,0.009,0.15,0.11,0.03,0.23,0.01,0.0077,400,,,,
test_2,0.2,0.22,0.68,0.024,0.009,0.15,0.11,0.03,0.23,0.01,0.0077,450,,,,
test_2,0.2,0.22,0.68,0.024,0.009,0.15,0.11,0.03,0.23,0.01,0.0077,500,,,,
test_2,0.2,0.22,0.68,0.024,0.009,0.15,0.11,0.03,0.23,0.01,0.0077,550,,,,
test_2,0.2,0.22,0.68,0.024,0.009,0.15,0.11,0.03,0.23,0.01,0.0077,600,,,,
test_2,0.2,0.22,0.68,0.024,0.009,0.15,0.11,0.03,0.23,0.01,0.0077,650,,,,
test_3,0.3,0.26,0.79,0.016,0.015,0.32,1.03,1.13,0.19,0.002,0.0085,27,,,,
test_3,0.3,0.26,0.79,0.016,0.015,0.32,1.03,1.13,0.19,0.002,0.0085,100,,,,
test_3,0.3,0.26,0.79,0.016,0.015,0.32,1.03,1.13,0.19,0.002,0.0085,200,,,,
test_3,0.3,0.26,0.79,0.016,0.015,0.32,1.03,1.13,0.19,0.002,0.0085,300,,,,
test_3,0.3,0.26,0.79,0.016,0.015,0.32,1.03,1.13,0.19,0.002,0.0085,400,,,,
test_3,0.3,0.26,0.79,0.016,0.015,0.32,1.03,1.13,0.19,0.002,0.0085,450,,,,
test_3,0.3,0.26,0.79,0.016,0.015,0.32,1.03,1.13,0.19,0.002,0.0085,500,,,,
test_3,0.3,0.26,0.79,0.016,0.015,0.32,1.03,1.13,0.19,0.002,0.0085,550,,,,
test_3,0.3,0.26,0.79,0.016,0.015,0.32,1.03,1.13,0.19,0.002,0.0085,600,,,,
test_3,0.3,0.26,0.79,0.016,0.015,0.32,1.03,1.13,0.19,0.002,0.0085,650,,,,
